Reporting country,Reference period,Item,Item code,Value,Date of extraction (yyyymmdd),Number of submissions per reporting country (NCA) and reference date
CZECH REPUBLIC,2017 Q4,"Payables (trade, not insurance)",R0840,179.98,20190319,27
CZECH REPUBLIC,2017 Q4,Deposits to cedants,R0350,127.98,20190319,27
CZECH REPUBLIC,2017 Q4,Reinsurance payables,R0830,78.85,20190319,27
CZECH REPUBLIC,2017 Q4,Insurance & intermediaries payables,R0820,324.02,20190319,27
CZECH REPUBLIC,2017 Q4,Financial liabilities other than debts owed to credit institutions,R0810,1191.51,20190319,27
CZECH REPUBLIC,2017 Q4,Debts owed to credit institutions,R0800,0.02,20190319,27
CZECH REPUBLIC,2017 Q4,Insurance and intermediaries receivables,R0360,261.83,20190319,27
CZECH REPUBLIC,2017 Q4,Derivatives,R0790,54.61,20190319,27
CZECH REPUBLIC,2017 Q4,Investments (other than assets held for index-linked and unit-linked contracts),R0070,11725.04,20190319,27
CZECH REPUBLIC,2017 Q4,Life index-linked and unit-linked,R0340,-6.65,20190319,27
CZECH REPUBLIC,2017 Q4,Deferred tax liabilities,R0780,464.82,20190319,27
CZECH REPUBLIC,2017 Q4,Deposits from reinsurers,R0770,361.09,20190319,27
CZECH REPUBLIC,2017 Q4,Pension benefit obligations,R0760,0.00,20190319,27
CZECH REPUBLIC,2017 Q4,Provisions other than technical provisions,R0750,66.33,20190319,27
CZECH REPUBLIC,2017 Q4,Corporate Bonds,R0150,2659.12,20190319,27
CZECH REPUBLIC,2017 Q4,Health similar to life,R0320,-0.08,20190319,27
CZECH REPUBLIC,2017 Q4,Contingent liabilities,R0740,0.00,20190319,27
CZECH REPUBLIC,2017 Q4,Collateralised securities,R0170,9.09,20190319,27
CZECH REPUBLIC,2017 Q4,Risk margin,R0720,93.17,20190319,27
CZECH REPUBLIC,2017 Q4,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,140.86,20190319,27
CZECH REPUBLIC,2017 Q4,Best Estimate,R0710,1618.36,20190319,27
CZECH REPUBLIC,2017 Q4,Technical provisions calculated as a whole,R0700,621.90,20190319,27
CZECH REPUBLIC,2017 Q4,"Property, plant & equipment held for own use",R0060,136.56,20190319,27
CZECH REPUBLIC,2017 Q4,Government Bonds,R0140,6785.72,20190319,27
CZECH REPUBLIC,2017 Q4,Health similar to non-life,R0300,27.85,20190319,27
CZECH REPUBLIC,2017 Q4,Technical provisions – index-linked and unit-linked,R0690,2333.43,20190319,27
CZECH REPUBLIC,2017 Q4,Risk margin,R0680,416.33,20190319,27
CZECH REPUBLIC,2017 Q4,Non-life excluding health,R0290,852.73,20190319,27
CZECH REPUBLIC,2017 Q4,Best Estimate,R0670,4874.36,20190319,27
CZECH REPUBLIC,2017 Q4,Technical provisions calculated as a whole,R0660,0.00,20190319,27
CZECH REPUBLIC,2017 Q4,Bonds,R0130,9488.66,20190319,27
CZECH REPUBLIC,2017 Q4,Non-life and health similar to non-life,R0280,880.58,20190319,27
CZECH REPUBLIC,2017 Q4,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,5290.69,20190319,27
CZECH REPUBLIC,2017 Q4,Risk margin,R0640,12.24,20190319,27
CZECH REPUBLIC,2017 Q4,Reinsurance recoverables from:,R0270,1014.79,20190319,27
CZECH REPUBLIC,2017 Q4,Best Estimate,R0630,-54.60,20190319,27
CZECH REPUBLIC,2017 Q4,Technical provisions calculated as a whole,R0620,0.00,20190319,27
CZECH REPUBLIC,2017 Q4,Pension benefit surplus,R0050,0.00,20190319,27
CZECH REPUBLIC,2017 Q4,Equities - unlisted,R0120,10.18,20190319,27
CZECH REPUBLIC,2017 Q4,Other loans and mortgages,R0260,1254.70,20190319,27
CZECH REPUBLIC,2017 Q4,Technical provisions - health (similar to life),R0610,-42.36,20190319,27
CZECH REPUBLIC,2017 Q4,Technical provisions - life (excluding index-linked and unit-linked),R0600,5248.33,20190319,27
CZECH REPUBLIC,2017 Q4,Loans and mortgages to individuals,R0250,0.01,20190319,27
CZECH REPUBLIC,2017 Q4,Risk margin,R0590,10.04,20190319,27
CZECH REPUBLIC,2017 Q4,Best Estimate,R0580,62.62,20190319,27
CZECH REPUBLIC,2017 Q4,Equities - listed,R0110,76.87,20190319,27
CZECH REPUBLIC,2017 Q4,Life excluding health and index-linked and unit-linked,R0330,140.94,20190319,27
CZECH REPUBLIC,2017 Q4,Reinsurance receivables,R0370,81.02,20190319,27
CZECH REPUBLIC,2017 Q4,Loans on policies,R0240,1.97,20190319,27
CZECH REPUBLIC,2017 Q4,Technical provisions calculated as a whole,R0570,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Loans and mortgages,R0230,1393.96,20190319,27
CZECH REPUBLIC,2018 Q1,Deferred tax assets,R0040,2.53,20190319,27
CZECH REPUBLIC,2018 Q1,Risk margin,R0550,161.29,20190319,27
CZECH REPUBLIC,2018 Q1,Best Estimate,R0540,2498.03,20190319,27
CZECH REPUBLIC,2018 Q1,Equities,R0100,89.52,20190319,27
CZECH REPUBLIC,2018 Q1,Assets held for index-linked and unit-linked contracts,R0220,2866.55,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions calculated as a whole,R0530,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions – non-life (excluding health),R0520,2659.32,20190319,27
CZECH REPUBLIC,2018 Q1,Other investments,R0210,7.37,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions – non-life,R0510,2728.34,20190319,27
CZECH REPUBLIC,2018 Q1,Total assets,R0500,18517.52,20190319,27
CZECH REPUBLIC,2018 Q1,"Holdings in related undertakings, including participations",R0090,922.47,20190319,27
CZECH REPUBLIC,2018 Q1,Deposits other than cash equivalents,R0200,436.18,20190319,27
CZECH REPUBLIC,2018 Q1,"Any other assets, not elsewhere shown",R0420,233.95,20190319,27
CZECH REPUBLIC,2018 Q1,Cash and cash equivalents,R0410,538.46,20190319,27
CZECH REPUBLIC,2018 Q1,Derivatives,R0190,52.25,20190319,27
CZECH REPUBLIC,2018 Q1,Intangible assets,R0030,1.96,20190319,27
CZECH REPUBLIC,2018 Q1,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Financial liabilities other than debts owed to credit institutions,R0810,1119.90,20190319,27
CZECH REPUBLIC,2018 Q1,Own shares (held directly),R0390,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Property (other than for own use),R0080,47.40,20190319,27
CZECH REPUBLIC,2018 Q1,Collective Investments Undertakings,R0180,850.21,20190319,27
CZECH REPUBLIC,2018 Q1,"Receivables (trade, not insurance)",R0380,128.47,20190319,27
CZECH REPUBLIC,2018 Q1,Reinsurance receivables,R0370,144.95,20190319,27
CZECH REPUBLIC,2018 Q1,"Payables (trade, not insurance)",R0840,159.66,20190319,27
CZECH REPUBLIC,2018 Q1,Derivatives,R0790,42.58,20190319,27
CZECH REPUBLIC,2018 Q1,Reinsurance payables,R0830,91.53,20190319,27
CZECH REPUBLIC,2018 Q1,Collateralised securities,R0170,8.93,20190319,27
CZECH REPUBLIC,2018 Q1,Insurance & intermediaries payables,R0820,350.89,20190319,27
CZECH REPUBLIC,2018 Q1,Deposits to cedants,R0350,133.37,20190319,27
CZECH REPUBLIC,2018 Q1,Investments (other than assets held for index-linked and unit-linked contracts),R0070,11588.44,20190319,27
CZECH REPUBLIC,2018 Q1,Debts owed to credit institutions,R0800,80.25,20190319,27
CZECH REPUBLIC,2018 Q1,Structured notes,R0160,34.73,20190319,27
CZECH REPUBLIC,2018 Q1,Life index-linked and unit-linked,R0340,-6.83,20190319,27
CZECH REPUBLIC,2018 Q1,Deferred tax liabilities,R0780,436.15,20190319,27
CZECH REPUBLIC,2018 Q1,Deposits from reinsurers,R0770,367.66,20190319,27
CZECH REPUBLIC,2018 Q1,Life excluding health and index-linked and unit-linked,R0330,137.72,20190319,27
CZECH REPUBLIC,2018 Q1,Pension benefit obligations,R0760,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Provisions other than technical provisions,R0750,61.66,20190319,27
CZECH REPUBLIC,2018 Q1,Corporate Bonds,R0150,2482.04,20190319,27
CZECH REPUBLIC,2018 Q1,Insurance and intermediaries receivables,R0360,302.86,20190319,27
CZECH REPUBLIC,2018 Q1,Health similar to life,R0320,0.01,20190319,27
CZECH REPUBLIC,2018 Q1,Contingent liabilities,R0740,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Risk margin,R0720,97.18,20190319,27
CZECH REPUBLIC,2018 Q1,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,137.73,20190319,27
CZECH REPUBLIC,2018 Q1,"Property, plant & equipment held for own use",R0060,137.58,20190319,27
CZECH REPUBLIC,2018 Q1,Best Estimate,R0710,2169.25,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions calculated as a whole,R0700,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Government Bonds,R0140,6657.35,20190319,27
CZECH REPUBLIC,2018 Q1,Health similar to non-life,R0300,30.63,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions – index-linked and unit-linked,R0690,2266.43,20190319,27
CZECH REPUBLIC,2018 Q1,Risk margin,R0680,436.69,20190319,27
CZECH REPUBLIC,2018 Q1,Non-life excluding health,R0290,882.89,20190319,27
CZECH REPUBLIC,2018 Q1,Best Estimate,R0670,4850.01,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions calculated as a whole,R0660,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Bonds,R0130,9183.05,20190319,27
CZECH REPUBLIC,2018 Q1,Non-life and health similar to non-life,R0280,913.52,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,5286.70,20190319,27
CZECH REPUBLIC,2018 Q1,Risk margin,R0640,13.18,20190319,27
CZECH REPUBLIC,2018 Q1,Reinsurance recoverables from:,R0270,1044.43,20190319,27
CZECH REPUBLIC,2018 Q1,Pension benefit surplus,R0050,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Best Estimate,R0630,-55.68,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions calculated as a whole,R0620,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Equities - unlisted,R0120,14.03,20190319,27
CZECH REPUBLIC,2018 Q1,Other loans and mortgages,R0260,1391.98,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions - health (similar to life),R0610,-42.50,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions - life (excluding index-linked and unit-linked),R0600,5244.20,20190319,27
CZECH REPUBLIC,2018 Q1,Loans and mortgages to individuals,R0250,0.01,20190319,27
CZECH REPUBLIC,2018 Q1,Risk margin,R0590,9.83,20190319,27
CZECH REPUBLIC,2018 Q1,Best Estimate,R0580,59.18,20190319,27
CZECH REPUBLIC,2018 Q1,Equities - listed,R0110,75.49,20190319,27
CZECH REPUBLIC,2018 Q1,Loans on policies,R0240,1.97,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions calculated as a whole,R0570,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Technical provisions - health (similar to non-life),R0560,69.01,20190319,27
CZECH REPUBLIC,2018 Q1,Excess of assets over liabilities,R1000,4896.58,20190319,27
CZECH REPUBLIC,2018 Q1,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,27
CZECH REPUBLIC,2018 Q1,Subordinated liabilities in Basic Own Funds,R0870,23.80,20190319,27
CZECH REPUBLIC,2018 Q1,Subordinated liabilities,R0850,23.80,20190319,27
CZECH REPUBLIC,2018 Q1,Total liabilities,R0900,13620.94,20190319,27
CZECH REPUBLIC,2018 Q1,"Any other liabilities, not elsewhere shown",R0880,647.90,20190319,27
CZECH REPUBLIC,2018 Q2,Subordinated liabilities,R0850,57.91,20190319,27
CZECH REPUBLIC,2018 Q2,Subordinated liabilities in Basic Own Funds,R0870,57.91,20190319,27
CZECH REPUBLIC,2018 Q2,"Any other liabilities, not elsewhere shown",R0880,711.64,20190319,27
CZECH REPUBLIC,2018 Q2,Excess of assets over liabilities,R1000,4451.76,20190319,27
CZECH REPUBLIC,2018 Q2,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Total liabilities,R0900,13294.17,20190319,27
CZECH REPUBLIC,2018 Q2,Loans and mortgages,R0230,1263.45,20190319,27
CZECH REPUBLIC,2018 Q2,Deferred tax assets,R0040,2.13,20190319,27
CZECH REPUBLIC,2018 Q2,Risk margin,R0550,156.63,20190319,27
CZECH REPUBLIC,2018 Q2,Equities,R0100,88.27,20190319,27
CZECH REPUBLIC,2018 Q2,Best Estimate,R0540,2539.04,20190319,27
CZECH REPUBLIC,2018 Q2,Assets held for index-linked and unit-linked contracts,R0220,2825.44,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions calculated as a whole,R0530,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions – non-life (excluding health),R0520,2695.67,20190319,27
CZECH REPUBLIC,2018 Q2,Other investments,R0210,7.82,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions – non-life,R0510,2828.84,20190319,27
CZECH REPUBLIC,2018 Q2,"Holdings in related undertakings, including participations",R0090,867.89,20190319,27
CZECH REPUBLIC,2018 Q2,Total assets,R0500,17745.93,20190319,27
CZECH REPUBLIC,2018 Q2,Deposits other than cash equivalents,R0200,512.11,20190319,27
CZECH REPUBLIC,2018 Q2,"Any other assets, not elsewhere shown",R0420,308.58,20190319,27
CZECH REPUBLIC,2018 Q2,Cash and cash equivalents,R0410,329.05,20190319,27
CZECH REPUBLIC,2018 Q2,Derivatives,R0190,31.58,20190319,27
CZECH REPUBLIC,2018 Q2,Intangible assets,R0030,1.94,20190319,27
CZECH REPUBLIC,2018 Q2,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Property (other than for own use),R0080,46.60,20190319,27
CZECH REPUBLIC,2018 Q2,Own shares (held directly),R0390,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Collective Investments Undertakings,R0180,841.24,20190319,27
CZECH REPUBLIC,2018 Q2,"Receivables (trade, not insurance)",R0380,166.69,20190319,27
CZECH REPUBLIC,2018 Q2,Reinsurance receivables,R0370,63.79,20190319,27
CZECH REPUBLIC,2018 Q2,"Payables (trade, not insurance)",R0840,134.89,20190319,27
CZECH REPUBLIC,2018 Q2,Collateralised securities,R0170,9.33,20190319,27
CZECH REPUBLIC,2018 Q2,Reinsurance payables,R0830,77.72,20190319,27
CZECH REPUBLIC,2018 Q2,Insurance and intermediaries receivables,R0360,297.10,20190319,27
CZECH REPUBLIC,2018 Q2,Insurance & intermediaries payables,R0820,282.82,20190319,27
CZECH REPUBLIC,2018 Q2,Financial liabilities other than debts owed to credit institutions,R0810,1117.67,20190319,27
CZECH REPUBLIC,2018 Q2,Deposits to cedants,R0350,135.50,20190319,27
CZECH REPUBLIC,2018 Q2,Investments (other than assets held for index-linked and unit-linked contracts),R0070,11154.32,20190319,27
CZECH REPUBLIC,2018 Q2,Debts owed to credit institutions,R0800,27.23,20190319,27
CZECH REPUBLIC,2018 Q2,Structured notes,R0160,25.32,20190319,27
CZECH REPUBLIC,2018 Q2,Derivatives,R0790,73.30,20190319,27
CZECH REPUBLIC,2018 Q2,Life index-linked and unit-linked,R0340,-6.30,20190319,27
CZECH REPUBLIC,2018 Q2,Deferred tax liabilities,R0780,412.84,20190319,27
CZECH REPUBLIC,2018 Q2,Deposits from reinsurers,R0770,354.92,20190319,27
CZECH REPUBLIC,2018 Q2,Life excluding health and index-linked and unit-linked,R0330,106.71,20190319,27
CZECH REPUBLIC,2018 Q2,Pension benefit obligations,R0760,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Corporate Bonds,R0150,2373.27,20190319,27
CZECH REPUBLIC,2018 Q2,Provisions other than technical provisions,R0750,57.18,20190319,27
CZECH REPUBLIC,2018 Q2,Health similar to life,R0320,-0.23,20190319,27
CZECH REPUBLIC,2018 Q2,Contingent liabilities,R0740,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Risk margin,R0720,95.09,20190319,27
CZECH REPUBLIC,2018 Q2,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,106.48,20190319,27
CZECH REPUBLIC,2018 Q2,"Property, plant & equipment held for own use",R0060,134.25,20190319,27
CZECH REPUBLIC,2018 Q2,Best Estimate,R0710,2142.24,20190319,27
CZECH REPUBLIC,2018 Q2,Government Bonds,R0140,6350.87,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions calculated as a whole,R0700,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Health similar to non-life,R0300,50.16,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions – index-linked and unit-linked,R0690,2237.33,20190319,27
CZECH REPUBLIC,2018 Q2,Risk margin,R0680,427.09,20190319,27
CZECH REPUBLIC,2018 Q2,Non-life excluding health,R0290,913.34,20190319,27
CZECH REPUBLIC,2018 Q2,Best Estimate,R0670,4534.25,20190319,27
CZECH REPUBLIC,2018 Q2,Bonds,R0130,8758.80,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions calculated as a whole,R0660,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Non-life and health similar to non-life,R0280,963.50,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,4961.34,20190319,27
CZECH REPUBLIC,2018 Q2,Risk margin,R0640,13.32,20190319,27
CZECH REPUBLIC,2018 Q2,Reinsurance recoverables from:,R0270,1063.68,20190319,27
CZECH REPUBLIC,2018 Q2,Pension benefit surplus,R0050,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Best Estimate,R0630,-54.80,20190319,27
CZECH REPUBLIC,2018 Q2,Equities - unlisted,R0120,20.42,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions calculated as a whole,R0620,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Other loans and mortgages,R0260,1261.52,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions - health (similar to life),R0610,-41.48,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions - life (excluding index-linked and unit-linked),R0600,4919.87,20190319,27
CZECH REPUBLIC,2018 Q2,Loans and mortgages to individuals,R0250,0.01,20190319,27
CZECH REPUBLIC,2018 Q2,Risk margin,R0590,10.18,20190319,27
CZECH REPUBLIC,2018 Q2,Equities - listed,R0110,67.85,20190319,27
CZECH REPUBLIC,2018 Q2,Best Estimate,R0580,122.99,20190319,27
CZECH REPUBLIC,2018 Q2,Loans on policies,R0240,1.92,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions calculated as a whole,R0570,0.00,20190319,27
CZECH REPUBLIC,2018 Q2,Technical provisions - health (similar to non-life),R0560,133.17,20190319,27
CZECH REPUBLIC,2018 Q3,Loans and mortgages,R0230,1345.93,20190319,27
CZECH REPUBLIC,2018 Q3,Risk margin,R0550,154.44,20190319,27
CZECH REPUBLIC,2018 Q3,Equities,R0100,89.92,20190319,27
CZECH REPUBLIC,2018 Q3,Best Estimate,R0540,2554.63,20190319,27
CZECH REPUBLIC,2018 Q3,Assets held for index-linked and unit-linked contracts,R0220,2894.58,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions calculated as a whole,R0530,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions – non-life (excluding health),R0520,2709.07,20190319,27
CZECH REPUBLIC,2018 Q3,Other investments,R0210,8.54,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions – non-life,R0510,2851.20,20190319,27
CZECH REPUBLIC,2018 Q3,"Holdings in related undertakings, including participations",R0090,1408.11,20190319,27
CZECH REPUBLIC,2018 Q3,Total assets,R0500,18474.37,20190319,27
CZECH REPUBLIC,2018 Q3,Deposits other than cash equivalents,R0200,666.70,20190319,27
CZECH REPUBLIC,2018 Q3,"Any other assets, not elsewhere shown",R0420,278.03,20190319,27
CZECH REPUBLIC,2018 Q3,Intangible assets,R0030,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Cash and cash equivalents,R0410,273.74,20190319,27
CZECH REPUBLIC,2018 Q3,Derivatives,R0190,41.99,20190319,27
CZECH REPUBLIC,2018 Q3,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Property (other than for own use),R0080,44.19,20190319,27
CZECH REPUBLIC,2018 Q3,Own shares (held directly),R0390,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Collective Investments Undertakings,R0180,845.01,20190319,27
CZECH REPUBLIC,2018 Q3,"Receivables (trade, not insurance)",R0380,138.27,20190319,27
CZECH REPUBLIC,2018 Q3,Reinsurance receivables,R0370,60.21,20190319,27
CZECH REPUBLIC,2018 Q3,"Payables (trade, not insurance)",R0840,159.90,20190319,27
CZECH REPUBLIC,2018 Q3,Collateralised securities,R0170,9.39,20190319,27
CZECH REPUBLIC,2018 Q3,Reinsurance payables,R0830,65.00,20190319,27
CZECH REPUBLIC,2018 Q3,Insurance and intermediaries receivables,R0360,293.57,20190319,27
CZECH REPUBLIC,2018 Q3,Insurance & intermediaries payables,R0820,284.93,20190319,27
CZECH REPUBLIC,2018 Q3,Investments (other than assets held for index-linked and unit-linked contracts),R0070,11857.75,20190319,27
CZECH REPUBLIC,2018 Q3,Financial liabilities other than debts owed to credit institutions,R0810,1077.05,20190319,27
CZECH REPUBLIC,2018 Q3,Deposits to cedants,R0350,131.40,20190319,27
CZECH REPUBLIC,2018 Q3,Debts owed to credit institutions,R0800,20.36,20190319,27
CZECH REPUBLIC,2018 Q3,Structured notes,R0160,25.02,20190319,27
CZECH REPUBLIC,2018 Q3,Derivatives,R0790,62.85,20190319,27
CZECH REPUBLIC,2018 Q3,Life index-linked and unit-linked,R0340,-6.30,20190319,27
CZECH REPUBLIC,2018 Q3,Deferred tax liabilities,R0780,441.31,20190319,27
CZECH REPUBLIC,2018 Q3,Deposits from reinsurers,R0770,358.40,20190319,27
CZECH REPUBLIC,2018 Q3,Life excluding health and index-linked and unit-linked,R0330,111.86,20190319,27
CZECH REPUBLIC,2018 Q3,Pension benefit obligations,R0760,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Corporate Bonds,R0150,2389.06,20190319,27
CZECH REPUBLIC,2018 Q3,Provisions other than technical provisions,R0750,67.13,20190319,27
CZECH REPUBLIC,2018 Q3,Health similar to life,R0320,-0.37,20190319,27
CZECH REPUBLIC,2018 Q3,Contingent liabilities,R0740,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,"Property, plant & equipment held for own use",R0060,136.45,20190319,27
CZECH REPUBLIC,2018 Q3,Risk margin,R0720,95.45,20190319,27
CZECH REPUBLIC,2018 Q3,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,111.50,20190319,27
CZECH REPUBLIC,2018 Q3,Best Estimate,R0710,2192.11,20190319,27
CZECH REPUBLIC,2018 Q3,Government Bonds,R0140,6329.82,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions calculated as a whole,R0700,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Health similar to non-life,R0300,50.90,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions – index-linked and unit-linked,R0690,2287.56,20190319,27
CZECH REPUBLIC,2018 Q3,Risk margin,R0680,419.91,20190319,27
CZECH REPUBLIC,2018 Q3,Non-life excluding health,R0290,906.63,20190319,27
CZECH REPUBLIC,2018 Q3,Best Estimate,R0670,4395.02,20190319,27
CZECH REPUBLIC,2018 Q3,Bonds,R0130,8753.30,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions calculated as a whole,R0660,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Non-life and health similar to non-life,R0280,957.53,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,4814.93,20190319,27
CZECH REPUBLIC,2018 Q3,Pension benefit surplus,R0050,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Risk margin,R0640,12.85,20190319,27
CZECH REPUBLIC,2018 Q3,Reinsurance recoverables from:,R0270,1062.72,20190319,27
CZECH REPUBLIC,2018 Q3,Best Estimate,R0630,-55.21,20190319,27
CZECH REPUBLIC,2018 Q3,Equities - unlisted,R0120,20.14,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions calculated as a whole,R0620,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Other loans and mortgages,R0260,1343.98,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions - health (similar to life),R0610,-42.36,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions - life (excluding index-linked and unit-linked),R0600,4772.57,20190319,27
CZECH REPUBLIC,2018 Q3,Loans and mortgages to individuals,R0250,0.01,20190319,27
CZECH REPUBLIC,2018 Q3,Risk margin,R0590,10.31,20190319,27
CZECH REPUBLIC,2018 Q3,Equities - listed,R0110,69.78,20190319,27
CZECH REPUBLIC,2018 Q3,Best Estimate,R0580,131.82,20190319,27
CZECH REPUBLIC,2018 Q3,Loans on policies,R0240,1.94,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions calculated as a whole,R0570,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Deferred tax assets,R0040,1.72,20190319,27
CZECH REPUBLIC,2018 Q3,Technical provisions - health (similar to non-life),R0560,142.13,20190319,27
CZECH REPUBLIC,2018 Q3,Excess of assets over liabilities,R1000,5258.48,20190319,27
CZECH REPUBLIC,2018 Q3,"Any other liabilities, not elsewhere shown",R0880,708.99,20190319,27
CZECH REPUBLIC,2018 Q3,Subordinated liabilities,R0850,58.66,20190319,27
CZECH REPUBLIC,2018 Q3,Total liabilities,R0900,13215.89,20190319,27
CZECH REPUBLIC,2018 Q3,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,27
CZECH REPUBLIC,2018 Q3,Subordinated liabilities in Basic Own Funds,R0870,58.66,20190319,27
CZECH REPUBLIC,2018 Q4,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,27
CZECH REPUBLIC,2018 Q4,"Any other liabilities, not elsewhere shown",R0880,705.98,20190319,27
CZECH REPUBLIC,2018 Q4,Excess of assets over liabilities,R1000,5330.48,20190319,27
CZECH REPUBLIC,2018 Q4,Subordinated liabilities,R0850,59.04,20190319,27
CZECH REPUBLIC,2018 Q4,Subordinated liabilities in Basic Own Funds,R0870,59.04,20190319,27
CZECH REPUBLIC,2018 Q4,Total liabilities,R0900,13016.42,20190319,27
CZECH REPUBLIC,2018 Q4,Loans and mortgages,R0230,1208.01,20190319,27
CZECH REPUBLIC,2018 Q4,Risk margin,R0550,156.16,20190319,27
CZECH REPUBLIC,2018 Q4,Equities,R0100,87.15,20190319,27
CZECH REPUBLIC,2018 Q4,Best Estimate,R0540,2483.60,20190319,27
CZECH REPUBLIC,2018 Q4,Assets held for index-linked and unit-linked contracts,R0220,2749.38,20190319,27
CZECH REPUBLIC,2018 Q4,Technical provisions calculated as a whole,R0530,0.00,20190319,27
CZECH REPUBLIC,2018 Q4,Technical provisions – non-life (excluding health),R0520,2639.76,20190319,27
CZECH REPUBLIC,2018 Q4,Other investments,R0210,6.81,20190319,27
CZECH REPUBLIC,2018 Q4,Technical provisions – non-life,R0510,2761.47,20190319,27
CZECH REPUBLIC,2018 Q4,"Holdings in related undertakings, including participations",R0090,1505.10,20190319,27
CZECH REPUBLIC,2018 Q4,Total assets,R0500,18346.90,20190319,27
CZECH REPUBLIC,2018 Q4,Deposits other than cash equivalents,R0200,296.76,20190319,27
CZECH REPUBLIC,2018 Q4,Intangible assets,R0030,0.00,20190319,27
